Id,Time,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
515,2.575,-400,21,691,15470,119280,9660
516,2.58,-348,54,928,28420,127540,8330
517,2.585,-335,20,955,26740,119280,-3500
518,2.59,-372,57,1046,27300,108640,-2450
519,2.595,-375,75,1043,24920,86170,-980
520,2.6,-515,230,682,18620,90300,-700
521,2.605,-573,322,622,16520,118160,20230
522,2.61,-592,84,851,18970,122010,23170
523,2.615,-530,-64,1056,33320,107450,15750
524,2.62,-521,-37,1021,31640,100240,6370
525,2.625,-567,-14,653,19950,109550,-9030
526,2.63,-674,54,642,29820,120050,-14210
527,2.635,-724,68,564,40250,129780,-18060
528,2.64,-680,-48,659,22470,126980,-24780
529,2.645,-609,122,811,-7350,122920,-28000
530,2.65,-686,122,804,-3920,119910,-19950
531,2.655,-752,80,602,24710,120610,-29890
532,2.66,-797,-12,482,41370,129850,-33460
533,2.665,-855,-63,511,43540,139580,-35980
534,2.67,-871,34,455,12040,136640,-29680
535,2.675,-803,52,528,-1470,138950,-23170
536,2.68,-788,44,599,24570,139230,-33950
537,2.685,-836,137,559,39410,138530,-35000
538,2.69,-868,153,419,42560,147140,-17570
539,2.695,-879,99,539,32620,149660,-15330
540,2.7,-846,109,519,140,140560,-13090
541,2.705,-932,116,276,910,145530,-7910
542,2.71,-924,115,257,3220,160650,-1330
543,2.715,-840,50,559,6510,151410,-9730
544,2.72,-826,68,550,13370,120960,-20510
545,2.725,-894,115,453,13580,111510,-14980
546,2.73,-946,79,440,-2030,102060,-7210
547,2.735,-983,70,346,-30520,97370,-6090
548,2.74,-947,95,299,-30030,96810,-4620
549,2.745,-921,90,338,-10220,93520,-5880
550,2.75,-945,133,341,-2870,84350,-6720
551,2.755,-974,69,354,-4200,56210,-10640
552,2.76,-1005,38,432,-3710,41790,-13580
553,2.765,-969,59,411,-5810,8400,-16520
554,2.77,-998,140,170,-12600,210,-12320
555,2.775,-1017,132,12,-22120,8120,8330
556,2.78,-1030,184,-210,-26740,17710,19390
557,2.785,-1004,118,1,-8190,28350,24010
558,2.79,-967,51,84,3150,26110,21350
559,2.795,-958,-18,138,8050,24010,19180
560,2.8,-940,-73,240,-70,18760,8680
561,2.805,-952,-36,266,-14210,7280,-980
562,2.81,-975,64,146,-19110,840,-420
563,2.815,-1000,99,46,-22680,-2520,2240
564,2.82,-1051,60,-14,-24570,140,8890
565,2.825,-1057,18,61,-8260,840,4830
566,2.83,-1011,25,257,-3010,-3920,2100
567,2.835,-1001,37,236,-9170,-18620,2380
568,2.84,-992,-42,83,-8540,-18270,910
569,2.845,-992,-58,62,-3150,-16310,-7980
570,2.85,-995,-15,110,3850,-16590,-12950
571,2.855,-990,-2,129,-420,-21840,-15960
572,2.86,-1003,31,78,-7490,-24220,-18760
573,2.865,-1004,53,20,-6370,-17850,-17080
574,2.87,-1033,102,-22,-1890,-11830,-13720
575,2.875,-1044,116,16,-4970,-6230,-4270
576,2.88,-1032,100,106,-6090,-4200,-1890
577,2.885,-994,70,158,-980,-4550,-420
578,2.89,-983,54,170,3360,-8330,1260
579,2.895,-992,58,137,-1820,-9520,3150
580,2.9,-996,30,110,-8680,-10150,4060
581,2.905,-1000,0,11,-2940,-6510,2240
582,2.91,-1002,1,51,5880,1190,-490
583,2.915,-1002,-19,76,3920,2800,-1540
584,2.92,-998,-27,121,350,4340,-5950
585,2.925,-991,-26,113,910,4270,-8820
586,2.93,-991,-16,92,2660,6230,-11480
587,2.935,-989,-11,44,1190,7140,-11270
588,2.94,-999,11,-21,-1050,15120,-9870
589,2.945,-1014,58,-9,-840,20510,-8610
590,2.95,-1017,53,43,6020,25970,-6160
591,2.955,-983,28,27,9450,27790,-5810
592,2.96,-999,11,-49,13090,36470,-2870
593,2.965,-992,-4,-48,12390,41230,-1680
594,2.97,-977,-12,0,9380,44940,-2100
595,2.975,-969,-16,97,6230,43890,-2940
596,2.98,-903,-32,133,5950,33670,-6020
